Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Eni Live Station],Price [Eni Live Station],In stock [Eni Live Station],Low stock [Eni Live Station],"Modifier - ""Aggiunta""","Modifier - ""Ritiro e Consegna Concessionarie""","Modifier - ""Ritiro e Consegna PRIVATI"""
CATENE DA NEVE E-9 MISURA 045,10258,CATENE DA NEVE E-9 MISURA 045,Catene,CATENE DA NEVE E-9 MISURA 045,N,,,,,,,0.00,8005438006626,,,Y,Y,100.00,12.000,3.000,N,N,N
CATENE DA NEVE E-9 MISURA 050,10259,CATENE DA NEVE E-9 MISURA 050,Catene,CATENE DA NEVE E-9 MISURA 050,N,,,,,,,0.00,8005438006633,,,Y,Y,100.00,6.000,3.000,N,N,N
CATENE DA NEVE E-9 MISURA 055,10260,CATENE DA NEVE E-9 MISURA 055,Catene,CATENE DA NEVE E-9 MISURA 055,N,,,,,,,0.00,8005438006640,,,Y,Y,100.00,4.000,3.000,N,N,N
CATENE DA NEVE E-9 MISURA 060,10261,CATENE DA NEVE E-9 MISURA 060,Catene,CATENE DA NEVE E-9 MISURA 060,N,,,,,,,0.00,8005438006657,,,Y,Y,100.00,1.000,3.000,N,N,N
CATENE DA NEVE E-9 MISURA 065,10262,CATENE DA NEVE E-9 MISURA 065,Catene,CATENE DA NEVE E-9 MISURA 065,N,,,,,,,0.00,8005438006664,,,Y,Y,100.00,6.000,3.000,N,N,N
CATENE DA NEVE E-9 MISURA 070,10263,CATENE DA NEVE E-9 MISURA 070,Catene,CATENE DA NEVE E-9 MISURA 070,N,,,,,,,0.00,8005438006671,,,Y,Y,100.00,5.000,3.000,N,N,N
CATENE DA NEVE E-9 MISURA 075,10264,CATENE DA NEVE E-9 MISURA 075,Catene,CATENE DA NEVE E-9 MISURA 075,N,,,,,,,0.00,8005438006442,,,Y,Y,100.00,1.000,3.000,N,N,N
CATENE DA NEVE E-9 MISURA 080,10265,CATENE DA NEVE E-9 MISURA 080,Catene,CATENE DA NEVE E-9 MISURA 080,N,,,,,,,0.00,8005438006688,,,Y,Y,100.00,-1.000,3.000,N,N,N
CATENE DA NEVE E-9 MISURA 090,10266,CATENE DA NEVE E-9 MISURA 090,Catene,CATENE DA NEVE E-9 MISURA 090,N,,,,,,,0.00,8005438006695,,,Y,Y,100.00,1.000,3.000,N,N,N
CATENE DA NEVE E-9 MISURA 095,10267,CATENE DA NEVE E-9 MISURA 095,Catene,CATENE DA NEVE E-9 MISURA 095,N,,,,,,,0.00,8005438006701,,,Y,Y,100.00,3.000,3.000,N,N,N
CATENE DA NEVE E-9 MISURA 097,10268,CATENE DA NEVE E-9 MISURA 097,Catene,CATENE DA NEVE E-9 MISURA 097,N,,,,,,,0.00,8005438006718,,,Y,Y,100.00,2.000,3.000,N,N,N
CATENE DA NEVE E-9 MISURA 097 (VECCHIE),10270,CATENE DA NEVE E-9 MISURA 097 (VECCHIE),Catene,CATENE DA NEVE E-9 MISURA 097 (VECCHIE),N,,,,,,,0.00,8005438100973,,,Y,Y,100.00,4.000,3.000,N,N,N
CATENE DA NEVE E-9 MISURA 100,10269,CATENE DA NEVE E-9 MISURA 100,Catene,CATENE DA NEVE E-9 MISURA 100,N,,,,,,,0.00,8005438006725,,,Y,Y,100.00,4.000,3.000,N,N,N
CATENE DA NEVE GRIPTECH-9 GRUPPO 12,10281,CATENE DA NEVE GRIPTECH-9 GRUPPO 12,Catene,CATENE DA NEVE GRIPTECH-9 GRUPPO 12,N,,,,,,,0.00,8010718421129,,,Y,Y,70.00,2.000,3.000,N,N,N
CATENE DA NEVE GRIPTECH-9 GRUPPO 13,10282,CATENE DA NEVE GRIPTECH-9 GRUPPO 13,Catene,CATENE DA NEVE GRIPTECH-9 GRUPPO 13,N,,,,,,,0.00,8010718421013,,,Y,Y,70.00,2.000,3.000,N,N,N
CATENE DA NEVE MAXIGRIP GR.113,10283,CATENE DA NEVE MAXIGRIP GR.113,Catene,CATENE DA NEVE MAXIGRIP GR.113,N,,,,,,,0.00,8010718421136,,,Y,Y,100.00,1.000,3.000,N,N,N
CATENE DA NEVE MAXIGRIP GR.114,10284,CATENE DA NEVE MAXIGRIP GR.114,Catene,CATENE DA NEVE MAXIGRIP GR.114,N,,,,,,,0.00,8010718421143,,,Y,Y,100.00,1.000,3.000,N,N,N
CATENE DA NEVE MAXIGRIP GR.117,10285,CATENE DA NEVE MAXIGRIP GR.117,Catene,CATENE DA NEVE MAXIGRIP GR.117,N,,,,,,,0.00,8010718421174,,,Y,Y,110.00,0.000,3.000,N,N,N
CATENE DA NEVE MAXIGRIP GR.118,10286,CATENE DA NEVE MAXIGRIP GR.118,Catene,CATENE DA NEVE MAXIGRIP GR.118,N,,,,,,,0.00,8010718421181,,,Y,Y,110.00,1.000,3.000,N,N,N
CATENE DA NEVE MAXIGRIP GR.119,10287,CATENE DA NEVE MAXIGRIP GR.119,Catene,CATENE DA NEVE MAXIGRIP GR.119,N,,,,,,,0.00,8010718421198,,,Y,Y,115.00,1.000,3.000,N,N,N
CATENE DA NEVE MAXIGRIP GR.120,10288,CATENE DA NEVE MAXIGRIP GR.120,Catene,CATENE DA NEVE MAXIGRIP GR.120,N,,,,,,,0.00,8010718421204,,,Y,Y,115.00,2.000,3.000,N,N,N
CATENE DA NEVE REX TR  - GRUPPO TR 102,10294,CATENE DA NEVE REX TR  - GRUPPO TR 102,Catene,CATENE DA NEVE REX TR  - GRUPPO TR 102,N,,,,,,,0.00,8001879016408,,,Y,Y,200.00,1.000,3.000,N,N,N
CATENE DA NEVE SUVGRIP 12MM - GRUPPO 213,10274,CATENE DA NEVE SUVGRIP 12MM - GRUPPO 213,Catene,CATENE DA NEVE SUVGRIP 12MM - GRUPPO 213,N,,,,,,,0.00,8010718422133,,,Y,Y,90.00,1.000,3.000,N,N,N
CATENE DA NEVE SUVGRIP 12MM - GRUPPO 215,10275,CATENE DA NEVE SUVGRIP 12MM - GRUPPO 215,Catene,CATENE DA NEVE SUVGRIP 12MM - GRUPPO 215,N,,,,,,,0.00,8010718422157,,,Y,Y,90.00,1.000,3.000,N,N,N
CATENE DA NEVE SUVGRIP 12MM - GRUPPO 216,10276,CATENE DA NEVE SUVGRIP 12MM - GRUPPO 216,Catene,CATENE DA NEVE SUVGRIP 12MM - GRUPPO 216,N,,,,,,,0.00,8010718422164,,,Y,Y,90.00,2.000,3.000,N,N,N
CATENE DA NEVE SUVGRIP 12MM - GRUPPO 219,10277,CATENE DA NEVE SUVGRIP 12MM - GRUPPO 219,Catene,CATENE DA NEVE SUVGRIP 12MM - GRUPPO 219,N,,,,,,,0.00,8010718422195,,,Y,Y,100.00,3.000,3.000,N,N,N
CATENE DA NEVE SUVGRIP 12MM - GRUPPO 220,10278,CATENE DA NEVE SUVGRIP 12MM - GRUPPO 220,Catene,CATENE DA NEVE SUVGRIP 12MM - GRUPPO 220,N,,,,,,,0.00,8010718422201,,,Y,Y,100.00,3.000,3.000,N,N,N
CATENE DA NEVE SUVGRIP 12MM - GRUPPO 221,10279,CATENE DA NEVE SUVGRIP 12MM - GRUPPO 221,Catene,CATENE DA NEVE SUVGRIP 12MM - GRUPPO 221,N,,,,,,,0.00,8010718422218,,,Y,Y,105.00,0.000,3.000,N,N,N
CATENE DA NEVE SUVGRIP 12MM - GRUPPO 222,10280,CATENE DA NEVE SUVGRIP 12MM - GRUPPO 222,Catene,CATENE DA NEVE SUVGRIP 12MM - GRUPPO 222,N,,,,,,,0.00,8010718422225,,,Y,Y,110.00,5.000,3.000,N,N,N
"CAVI BATTERIA AUTO 3,5M 700A - 5,5L",10094,"CAVI BATTERIA AUTO 3,5M 700A - 5,5L",Accessori,"CAVI BATTERIA AUTO 3,5M 700A - 5,5L",N,,,,,,,0.00,5055175234960,,,Y,Y,42.00,1.000,3.000,N,N,N
"CAVI BATTERIA AUTO 3M 300A - 3,5L",10095,"CAVI BATTERIA AUTO 3M 300A - 3,5L",Accessori,"CAVI BATTERIA AUTO 3M 300A - 3,5L",N,,,,,,,0.00,5011274016081,,,Y,Y,32.00,1.000,3.000,N,N,N
cavo-iphone-nero-1mt,10538,Cavo iPhone nero 1mt,Accessori,,N,,,,,,,0.00,18010718086721,,,Y,Y,5.00,4.000,2.000,N,N,N
CAVO RICARICA USB-IPHONE 1M BIANCO,10362,CAVO RICARICA USB-IPHONE 1M BIANCO,Accessori,CAVO RICARICA USB-IPHONE 1M BIANCO,N,,,,,,,0.00,8010718086731,,,Y,Y,8.00,5.000,3.000,N,N,N
CAVO RICARICA USB-TYPE C 1M NERO,10361,CAVO RICARICA USB-TYPE C 1M NERO,Accessori,CAVO RICARICA USB-TYPE C 1M NERO,N,,,,,,,0.00,8010718086762,,,Y,Y,8.00,4.000,3.000,N,N,N
CENERE MAGICA MELA VERDE,10347,CENERE MAGICA MELA VERDE,Accessori,CENERE MAGICA MELA VERDE,N,,,,,,,0.00,,,,Y,Y,5.00,4.000,3.000,N,N,N
CENERE MAGICA PINO,10348,CENERE MAGICA PINO,Accessori,CENERE MAGICA PINO,N,,,,,,,0.00,,,,Y,Y,5.00,3.000,3.000,N,N,N
CERA PORTALE AUTOLAVAGGIO 25LT,10302,CERA PORTALE AUTOLAVAGGIO 25LT,Uso interno,CERA PORTALE AUTOLAVAGGIO 25LT,N,,,,,,,0.00,4016264026140,,,Y,Y,1.00,1.000,3.000,N,N,N
coppia-909-bosch,10465,COPPIA 909 BOSCH,Tergicristalli,<p>Coppia spazzole anteriori 909</p>,N,,,,,,,0.00,3165143387207,,,Y,Y,47.00,0.000,1.000,N,N,N
coppia-anteriore-universale-nero,10474,Coppia anteriore universale nero,Accessori,,N,,,,,,,0.00,8010718296697,,,Y,Y,60.00,0.000,0.000,N,N,N
coppia-anteriori-nero-antracite,10473,Coppia anteriori nero antracite,Accessori,,N,,,,,,,0.00,8010718295911,,,Y,Y,50.00,1.000,0.000,N,N,N
coppia-anteriori-universali-antracite,10475,Coppia anteriori universali antracite,Accessori,,N,,,,,,,0.00,8010718296635,,,Y,Y,60.00,0.000,0.000,N,N,N
COPPIA COPRISEDILE ANTERIORE NERO/ANTRACITE TG.M,10091,COPPIA COPRISEDILE ANTERIORE NERO/ANTRACITE TG.M,Accessori,<p>COPPIA COPRISEDILE ANTERIORE NERO/ANTRACITE TG.M</p>,N,,,,,,,0.00,8010718295829,,,Y,Y,63.00,0.000,,N,N,N
coppia-coprisedile-anteriori-fast&smart-nero|dubai-antracite,10542,Coppia coprisedile anteriori Fast&Smart Nero|Dubai antracite,Accessori,,N,,,,,,,37.20,8010718295812,,,Y,Y,63.00,0.000,,N,N,N
COPPIA COPRISEDILI ANTERIORI DOUBLE-FACE 50X120,10047,COPPIA COPRISEDILI ANTERIORI,Accessori,COPPIA COPRISEDILI ANTERIORI DOUBLE-FACE 50X120,N,,,,,,,0.00,8000692541890,,,Y,Y,40.00,1.000,3.000,N,N,N
coppia-coprisedili-fast&smart-nero/apollo-antracite-tg.-media,10511,Coppia Coprisedili Fast&Smart Nero/Apollo Antracite tg. Media,Accessori,,N,,,,,,,0.00,8010718295874,,,Y,Y,50.00,0.000,0.000,N,N,N
COPPIA COPRI SEDILE ANTERIORI TG. MEDIA TRAFORATO BLU,10043,Coppia Coprisedili Fast&Smart Nero/Dubai Avio tg.M,Accessori,COPPIA COPRI SEDILE ANTERIORI TG. MEDIA TRAFORATO BLU,N,,,,,,,0.00,8010718295805,,,Y,Y,50.00,0.000,3.000,N,N,N
coprisedile-anteriori-tg.m-ross-nero,10519,Coprisedile anteriori tg.M ross nero,Accessori,,N,,,,,,,0.00,8010718296956,,,Y,Y,50.00,0.000,,N,N,N
coprisedile-anteriori-tg.media-azzurri-nero,10518,Coprisedile anteriori tg.media azzurri-nero,Accessori,,N,,,,,,,0.00,8010718295836,,,Y,Y,50.00,0.000,,N,N,N
coprisedile-nero/graffio-antracite,10508,Coprisedile Nero/Graffio Antracite,Accessori,,N,,,,,,,0.00,8010718296819,,,Y,Y,50.00,0.000,0.000,N,N,N
coprisedili-fast&smart-nero/apollo-antracite,10450,Coprisedili fast&smart Nero/Apollo Antracite,Accessori,,N,,,,,,,31.80,8010718293054,,,Y,Y,50.00,0.000,,N,N,N
coprisedili-fast&smart-nero/apollo-avio,10533,Coprisedili fast&smart Nero/Apollo Avio,Accessori,,N,,,,,,,35.00,8010718293047,,,Y,Y,50.00,0.000,,N,N,N
COVER TELEFONO BIANCA TG.XL,10359,COVER TELEFONO BIANCA TG.XL,Accessori,COVER TELEFONO BIANCA TG.XL,N,,,,,,,0.00,8033830062070,,,Y,Y,15.00,1.000,3.000,N,N,N
COVER TELEFONO NERO TG.L,10360,COVER TELEFONO NERO TG.L,Accessori,COVER TELEFONO NERO TG.L,N,,,,,,,0.00,8033830061974,,,Y,Y,15.00,2.000,3.000,N,N,N
CRIC AUTO UNIVERSALE PANTOGRAFO ,10092,CRIC AUTO UNIVERSALE PANTOGRAFO,Accessori,CRIC AUTO UNIVERSALE PANTOGRAFO ,N,,,,,,,0.00,,,,Y,Y,24.00,1.000,3.000,N,N,N
CUSCINETTO SCAMOSCIATO TG. S,10354,CUSCINETTO SCAMOSCIATO TG. S,Accessori,CUSCINETTO SCAMOSCIATO TG. S,N,,,,,,,0.00,8000692371527,,,Y,Y,4.00,4.000,3.000,N,N,N
daygum-protex,10454,Daygum protex,Bar,,N,,,,,,,0.00,80818793,,,Y,Y,2.50,5.000,0.000,N,N,N
DEGHIACCIANTE VETRI 200ML,10010,DEGHIACCIANTE VETRI 200ML,Accessori,DEGHIACCIANTE VETRI 200ML,N,,,,,,,0.00,8001848041202,,,Y,Y,5.00,7.000,3.000,N,N,N
DEO CUBE FOREST,10345,DEO CUBE FOREST,Accessori,DEO CUBE FOREST,N,,,,,,,0.00,8005553013820,,,Y,Y,4.50,10.000,3.000,N,N,N
DEO CUBE VANIGLIA ,10346,DEO CUBE VANIGLIA,Accessori,DEO CUBE VANIGLIA ,N,,,,,,,0.00,8005553013851,,,Y,Y,4.50,7.000,3.000,N,N,N
DETERGENTE BMF 5LT,10314,DETERGENTE BMF 5LT,Uso interno,DETERGENTE BMF 5LT,N,,,,,,,0.00,4045989018512,,,Y,Y,1.00,1.000,3.000,N,N,N
detergente-vetro-antigelo-mignon-250ml,10462,Detergente vetro antigelo MIGNON 250ml,Accessori,<p>Detergente lavavetri concentrato 250ml antigelo MIGNON formato piccolo</p>,N,,,,,,,0.00,8006786515310,,,Y,Y,3.00,12.000,4.000,N,N,N
DETERSIVO LAVAGGIO PORTALE 25LT,10303,DETERSIVO LAVAGGIO PORTALE 25LT,Uso interno,DETERSIVO LAVAGGIO PORTALE 25LT,N,,,,,,,0.00,4016264017964,,,Y,Y,1.00,1.000,3.000,N,N,N
DIAMANT PLAST LUCIDACRUSCOTTI 600ML,10033,DIAMANT PLAST,Accessori,LUCIDACRUSCOTTI 600ML,N,,,,,,,0.00,8005553000745,,,Y,Y,10.00,5.000,3.000,N,N,N
DIESEL OK ADITIVO ANTIGELO PER GASOLIO 1L,10000,DIESEL OK,Accessori,ADDITIVO ANTIGELO PER GASOLIO 1L,N,,,,,,,0.00,8006786001035,,,Y,Y,15.00,8.000,3.000,N,N,N
DIESEL OK ADDITIVO FLUIDIFICANTE GASOLIO 250ML,10016,DIESEL OK,Accessori,ADDITIVO FLUIDIFICANTE GASOLIO 250ML,N,,,,,,,0.00,8006786628171,,,Y,Y,8.00,24.000,3.000,N,N,N
DIESELPRO - TECHT ADDITIVO DIESEL ANTIGELO 250ML,10017,DIESELPRO - TECHT,Accessori,ADDITIVO DIESEL ANTIGELO 250ML,N,,,,,,,0.00,8008747104830,,,Y,Y,8.00,29.000,3.000,N,N,N
DISCO ORARIO GRANDE ,10028,DISCO ORARIO GRANDE,Accessori,DISCO ORARIO GRANDE ,N,,,,,,,0.00,8010718202612,,,Y,Y,3.50,15.000,3.000,N,N,N
DISCO ORARIO PICCOLO,10027,DISCO ORARIO PICCOLO,Accessori,DISCO ORARIO PICCOLO,N,,,,,,,0.00,8010718202629,,,Y,Y,2.50,1.000,3.000,N,N,N
DISINFETTANTE DEODORANTE GERMODIS SPRY POLAR ICE 150ML,10226,DISINFETTANTE DEODORANTE GERMODIS SPRY POLAR ICE 150ML,Accessori,DISINFETTANTE DEODORANTE GERMODIS SPRY POLAR ICE 150ML,N,,,,,,,0.00,4050641254160,,,Y,Y,15.00,11.000,3.000,N,N,N
domecar,10404,DOMECAR,Lavaggi,,N,TIPO LAVAGGIO,COMPLETO,,,,,0.00,,,,N,Y,24.00,,,N,N,N
domecar,10405,,,,,,ESTERNO,,,,,0.00,,,,,Y,13.00,,,N,N,N
domecar,10395,,,,,,IDRO+RULLI,,,,,0.00,,,,,Y,10.00,,,N,N,N
domecar,10412,,,,,,INTERNO,,,,,0.00,,,,,Y,20.00,,,N,N,N
domecar,10413,,,,,,SOLO RULLI,,,,,0.00,,,,,Y,6.00,,,N,N,N
domecar,10421,,,,,,VARIABILE,,,,,0.00,,,,,Y,variable,,,N,N,N
"DOPPIA PRESA USB MINI 5V/2,1A ",10363,"DOPPIA PRESA USB MINI 5V/2,1A",Accessori,"DOPPIA PRESA USB MINI 5V/2,1A ",N,,,,,,,0.00,8010718208027,,,Y,Y,12.00,3.000,3.000,N,N,N
DUBLO TAPPETINO GOMMA NATURALE 34X47,10049,DUBLO TAPPETINO GOMMA NATURALE 34X47,Accessori,DUBLO TAPPETINO GOMMA NATURALE 34X47,N,,,,,,,0.00,8000692261620,,,Y,Y,12.00,3.000,3.000,N,N,N
fed-calcio,10435,FED CALCIO,Lavaggi,,N,TIPO LAVAGGIO,RULLI,,,,,0.00,,,,N,Y,6.00,,,N,N,N
fed-calcio,10436,,,,,,RULLI+IDRO,,,,,0.00,,,,,Y,10.00,,,N,N,N
fed-calcio,10437,,,,,,VARIABILE,,,,,0.00,,,,,Y,variable,,,N,N,N
FILTRAVEDO TENDINA PARASOLE 55CM,10044,FILTRAVEDO TENDINA,Accessori,FILTRAVEDO TENDINA PARASOLE 55CM,N,,,,,,,0.00,8010431905821,,,Y,Y,20.00,2.000,3.000,N,N,N
FRESCH CAR BABBO NATALE ,10366,FRESCH CAR BABBO NATALE,Accessori,FRESCH CAR BABBO NATALE ,N,,,,,,,0.00,8010718102677,,,Y,Y,3.00,20.000,3.000,N,N,N
frisk,10459,Frisk,Bar,,N,,,,,,,0.00,5412841601240,,,Y,Y,1.00,9.000,0.000,N,N,N
GECKO TENDINA PARASOLA 2 PZ 44*35CM,10378,GECKO TENDINA PARASOLA 2 PZ 44*35CM,Accessori,GECKO TENDINA PARASOLA 2 PZ 44*35CM,N,,,,,,,0.00,8010898109015,,,Y,Y,6.00,2.000,3.000,N,N,N
giò-essence,10492,Giò essence,Profumatori,,N,,,,,,,2.50,8054309080616,,,Y,Y,7.00,0.000,0.000,N,N,N
GLASS CLEAN ESHINE PULITORE VETRI 500ML,10036,GLASS CLEAN ESHINE PULITORE VETRI 500ML,Accessori,GLASS CLEAN ESHINE PULITORE VETRI 500ML,N,,,,,,,0.00,8005553000479,,,Y,Y,8.00,5.000,3.000,N,N,N
golia-activ-plus,10457,Golia activ plus,Bar,,N,,,,,,,0.00,80737018,,,Y,Y,2.50,4.000,0.000,N,N,N
GONFIA E RIPARA PNEUMATICI 300ML,10063,GONFIA E RIPARA PNEUMATICI 300ML,Accessori,GONFIA E RIPARA PNEUMATICI 300ML,N,,,,,,,0.00,8000692381403,,,Y,Y,10.00,1.000,3.000,N,N,N
gonfia-e-ripara-würth-300ml,10476,Gonfia e Ripara Würth 300ml,Accessori,<p>Gonfia e Ripara W&uuml;rth 300ml</p>,N,,,,,,,0.00,4045989019663,,,Y,Y,15.00,11.000,3.000,N,N,N
guerra,10434,GUERRA,Lavaggi,,N,TIPO LAVAGGIO,4 SEDILI,,,,,0.00,,,,N,Y,35.00,,,N,N,N
guerra,10393,,,,,,COMPLETO,,,,,0.00,,,,,Y,24.00,,,N,N,N
guerra,10394,,,,,,ESTERNO,,,,,0.00,,,,,Y,13.00,,,N,N,N
guerra,10416,,,,,,IDRO+RULLI,,,,,0.00,,,,,Y,10.00,,,N,N,N
guerra,10406,,,,,,INTERNO,,,,,0.00,,,,,Y,20.00,,,N,N,N
guerra,10433,,,,,,SEDILE SINGOLO,,,,,0.00,,,,,Y,10.00,,,N,N,N
guerra,10415,,,,,,SOLO RULLI,,,,,0.00,,,,,Y,6.00,,,N,N,N
guerra,10432,,,,,,TAPPEZZERIA,,,,,0.00,,,,,Y,49.00,,,N,N,N
guerra,10426,,,,,,VARIABILE,,,,,0.00,,,,,Y,variable,,,N,N,N
hermès-essence,10495,Hermès essence,Profumatori,,N,,,,,,,2.50,8054309080647,,,Y,Y,7.00,4.000,0.000,N,N,N
I-CARE POLISH SPRY 200ML,10011,I-CARE POLISH SPRY 200ML,Accessori,I-CARE POLISH SPRY 200ML,N,,,,,,,0.00,8006786650738,,,Y,Y,6.00,36.000,3.000,N,N,N
I-RIDE 10W40 SCOOTER 4T502014481,10098,I-RIDE 10W40 SCOOTER 4T502014481,Oli e lubrificanti,I-RIDE 10W40 SCOOTER 4T502014481,N,,,,,,,0.00,8003699008533,,,Y,Y,15.00,1.000,3.000,N,N,N
I-RIDE SCOOTER 2T 1L,10065,I-RIDE SCOOTER 2T 1L,Oli e lubrificanti,I-RIDE SCOOTER 2T 1L,N,,,,,,,0.00,8003699013070,,,Y,Y,15.00,19.000,3.000,N,N,N
i-sint-0w30-1l,10547,I-SINT 0W30 1L,Oli e lubrificanti,,N,,,,,,,0.00,8423178026771,,,Y,Y,18.00,3.000,,N,N,N
I-SINT 10W40 1L,10040,I-SINT 10W40 1L,Oli e lubrificanti,I-SINT 10W40 1L,N,,,,,,,0.00,8003699011618,,,Y,Y,18.00,20.000,3.000,N,N,N
i-sint-5w30,10516,I-Sint 5W30,Oli e lubrificanti,,N,,,,,,,0.00,4058214017099,,,Y,Y,18.00,21.000,0.000,N,N,N
I-SINT 5W30 1L,10038,I-SINT 5W30 1L,Oli e lubrificanti,I-SINT 5W30 1L,N,,,,,,,0.00,8003699011588,,,Y,Y,18.00,36.000,,N,N,N
I-SINT 5W40 1L,10039,I-SINT 5W40 1L,Oli e lubrificanti,I-SINT 5W40 1L,N,,,,,,,0.00,8003699012035,,,Y,Y,18.00,6.000,3.000,N,N,N
I-SINT P 0W30 1L,10037,I-SINT P 0W30 1L,Oli e lubrificanti,I-SINT P 0W30 1L,N,,,,,,,0.00,8423178026771,,,Y,Y,18.00,4.000,3.000,N,N,N
IGIENIZZANTE PER INTERNI PROFUMATO 10LT,10315,IGIENIZZANTE PER INTERNI PROFUMATO 10LT,Uso interno,IGIENIZZANTE PER INTERNI PROFUMATO 10LT,N,,,,,,,0.00,4046777763409,,,Y,Y,1.00,1.000,3.000,N,N,N
importo,10429,Importo,Bar,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N
importo-manuale,10496,Importo manuale,,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N
ippo,10399,IPPO,Lavaggi,,N,TIPO LAVAGGIO,COMPLETO,,,,,0.00,,,,N,Y,30.00,,,N,N,N
ippo,10464,,,,,,COMPLETO MACCHINA,,,,,0.00,,,,,Y,26.00,,,N,N,N
ippo,10400,,,,,,ESTERNO,,,,,0.00,,,,,Y,14.00,,,N,N,N
ippo,10414,,,,,,INTERNO,,,,,0.00,,,,,Y,20.00,,,N,N,N
ippo,10419,,,,,,VARIABILE,,,,,0.00,,,,,Y,variable,,,N,N,N
jolly-carrozzieri-cruscotti,10471,Jolly carrozzieri cruscotti,Accessori,,N,,,,,,,0.00,8006786002322,,,Y,Y,10.00,16.000,4.000,N,N,N
jolly-professional-cruscotti,10472,Jolly professional cruscotti,Accessori,,N,,,,,,,0.00,8006786389652,,,Y,Y,15.00,14.000,0.000,N,N,N
joly-talco-antistatico,10548,Joly talco antistatico,Accessori,,N,,,,,,,0.00,8006786389683,,,Y,Y,15.00,18.000,4.000,N,N,N
KIT DOT 4 LIQUIDO FRENI 250ML ,10008,KIT DOT 4,Accessori,KIT DOT 4 LIQUIDO FRENI 250ML ,N,,,,,,,0.00,8006786018323,,,Y,Y,5.00,0.000,3.000,N,N,N
kit-ripara-gomme-tubless,10477,KIT RIPARA GOMME TUBLESS,Accessori,<p>KIT RIPARA GOMME TUBLESS</p>,N,,,,,,,10.00,,,,Y,Y,variable,4.000,,N,N,N
kit-ripara-gomme-tubless-1,10478,KIT RIPARA GOMME TUBLESS,Accessori,<p>KIT RIPARA GOMME TUBLESS</p>,N,,,,,,,10.00,,,,Y,Y,variable,4.000,,N,N,N
lampadina-h4-12v55w,10537,Lampadina H4 12V55W,Accessori,,N,,,,,,,4.38,3221320087046,,,Y,Y,7.30,6.000,,N,N,N
lampadina-h4-12v60/55w-power-+80%,10536,Lampadina H4 12V60/55W power +80%,Accessori,,N,,,,,,,7.02,3221320087244,,,Y,Y,11.70,8.000,,N,N,N
LAMPADINA H7,10369,LAMPADINA H7,Accessori,LAMPADINA H7,N,,,,,,,0.00,4045727186480,,,Y,Y,10.00,1.000,3.000,N,N,N
lampadina-h7-12v55w,10534,Lampadina H7 12V55W,Accessori,,N,,,,,,,4.80,3221320087077,,,Y,Y,8.00,5.000,,N,N,N
lampadina-h7-12v55w-power-+80%,10535,Lampadina H7 12V55W power +80%,Accessori,,N,,,,,,,10.38,3221320087275,,,Y,Y,17.30,6.000,,N,N,N
lampadina-h7-michelin,10541,Lampadina H7 Michelin,Accessori,,N,,,,,,,0.00,3221320087176,,,Y,Y,16.00,4.000,1.000,N,N,N
lavaggio-a-mano-completo,10498,Lavaggio A Mano completo,Detailing,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N
lavaggio-completo-domicilio,10526,Lavaggio Completo DOMICILIO,Lavaggi,,N,,,,,,,0.00,,,,N,Y,35.00,,,N,N,N
lavaggio-esterno-domicilio,10524,Lavaggio Esterno DOMICILIO,Lavaggi,,N,,,,,,,0.00,,,,N,Y,21.00,,,N,N,N
lavaggio-interno-domicilio,10523,Lavaggio Interno DOMICILIO,Lavaggi,,N,,,,,,,0.00,,,,N,Y,29.00,,,N,N,N
LAVATAPPEZZERIA 5LT,10310,LAVATAPPEZZERIA 5LT,Uso interno,LAVATAPPEZZERIA 5LT,N,,,,,,,0.00,,,,Y,Y,1.00,1.000,3.000,N,N,N
LUCIDA E RINNOVA E.L. PLASTICHE 10LT,10304,LUCIDA E RINNOVA E.L. PLASTICHE 10LT,Uso interno,LUCIDA E RINNOVA E.L. PLASTICHE 10LT,N,,,,,,,0.00,,,,Y,Y,1.00,1.000,3.000,N,N,N
lucidatura,10507,Lucidatura,Detailing,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N
LUCIDO GOMME TRASPARENTE 25LT,10311,LUCIDO GOMME TRASPARENTE 25LT,Uso interno,LUCIDO GOMME TRASPARENTE 25LT,N,,,,,,,0.00,,,,Y,Y,1.00,1.000,3.000,N,N,N
M15 LAVAMOQUETTE 5LT,10316,M15 LAVAMOQUETTE 5LT,Uso interno,M15 LAVAMOQUETTE 5LT,N,,,,,,,0.00,,,,Y,Y,1.00,1.000,3.000,N,N,N
magic-lavagristalli-würth,10527,MAGIC lavagristalli Würth,Accessori,,N,,,,,,,0.70,4045989124350,,,Y,Y,3.00,157.000,10.000,N,N,N
milion-essence,10494,Milion essence,Profumatori,,N,,,,,,,2.50,8054309080623,,,Y,Y,7.00,3.000,0.000,N,N,N
